occurrence_no,record_type,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,phylum,class,order,family,genus,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,geogscale,paleolng,paleolat,geoplate,formation,stratgroup,member,environment,pres_mode,taxon_environment
294219,occ,28067,Eryops,genus,37011,Wolfcamp,,296.4,268,Chordata,Osteichthyes,Temnospondyli,Eryopidae,Eryops,,,-106.783333,35.716667,,"UCMP 39179, Jemez Canyon (Abo Formation)",,"Harvard locality, Canyon de San Diego",US,New Mexico,Sandoval,small collection,-34.43,4.24,101,Abo/Cutler,,,fluvial indet.,body,"brackish,freshwater,terrestrial"
294220,occ,28067,Diadectidae,family,37246,Wolfcamp,,296.4,268,Chordata,Osteichthyes,Cotylosauria,Diadectidae,,,,-106.783333,35.716667,,"UCMP 39179, Jemez Canyon (Abo Formation)",,"Harvard locality, Canyon de San Diego",US,New Mexico,Sandoval,small collection,-34.43,4.24,101,Abo/Cutler,,,fluvial indet.,body,"brackish,freshwater,terrestrial"
294221,occ,28067,Sphenacodontidae,family,38901,Wolfcamp,,296.4,268,Chordata,Osteichthyes,Cotylosauria,Sphenacodontidae,,,,-106.783333,35.716667,,"UCMP 39179, Jemez Canyon (Abo Formation)",,"Harvard locality, Canyon de San Diego",US,New Mexico,Sandoval,small collection,-34.43,4.24,101,Abo/Cutler,,,fluvial indet.,body,terrestrial
294222,occ,28068,Embolomeri,suborder,37178,Rotliegendes,,298.9,254,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,,,1,specimens,-106.71833,35.730278,,UCMP V-3440 (Abo Formation),,Johnson locality,US,New Mexico,Sandoval,small collection,-33.06,6.75,101,Abo,,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
294223,occ,28068,Amphibia,unranked clade,36319,Rotliegendes,,298.9,254,Chordata,Osteichthyes,,,,,,-106.71833,35.730278,,UCMP V-3440 (Abo Formation),,Johnson locality,US,New Mexico,Sandoval,small collection,-33.06,6.75,101,Abo,,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
294225,occ,28069,Dendrerpeton acadianum,species,164775,Westphalian A,,318.1,314.6,Chordata,Osteichthyes,Temnospondyli,Dendrerpetidae,Dendrerpeton,1,specimens,-64.451385,45.698612,"""labyrinthodont Reptile"", said to be similar to present-day Salamanders; see comments on taxonomic list","Coal Mine Point; Divison 4, Section XV, coal-group 15",,South Joggins; Coal Measures; Head of Bay of Fundy,CA,Nova Scotia,Cumberland,outcrop,-10.29,-13.31,108,Joggins,Cumberland,,mire/swamp,"body,coalified","brackish,freshwater,terrestrial"
295886,occ,28119,Eryops,genus,37011,Sakmarian,,295.5,290.1,Chordata,Osteichthyes,Temnospondyli,Eryopidae,Eryops,1,specimens,-98.764725,33.473057,,"Cottonwood Creek, 1 (Putnam Formation)",,"Locality 1 (Romer 1928), faunal Zone 0, Cisco Group, Texas red-beds, redbeds",US,Texas,Archer,outcrop,-30.42,-1.67,101,Archer City,Wichita,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
295887,occ,28120,Eryops,genus,37011,Sakmarian,,295.5,290.1,Chordata,Osteichthyes,Temnospondyli,Eryopidae,Eryops,3,specimens,-98.625275,33.595554,,"Elm Creek, 2 (Putnam Formation)",,"Locality 2 (Romer 1928), Locality IIIa (Romer & Price (1940), faunal Zone 0, Cisco Group, Texas red-beds, redbeds",US,Texas,Archer,local area,-30.26,-1.62,101,Putnam,Cisco,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
295888,occ,28120,Dimetrodon,genus,38904,Sakmarian,,295.5,290.1,Chordata,Osteichthyes,Cotylosauria,Sphenacodontidae,Dimetrodon,3,specimens,-98.625275,33.595554,,"Elm Creek, 2 (Putnam Formation)",,"Locality 2 (Romer 1928), Locality IIIa (Romer & Price (1940), faunal Zone 0, Cisco Group, Texas red-beds, redbeds",US,Texas,Archer,local area,-30.26,-1.62,101,Putnam,Cisco,,terrestrial indet.,body,terrestrial
295889,occ,28121,Ophiacodon,genus,38888,Sakmarian,,295.5,290.1,Chordata,Osteichthyes,Cotylosauria,Ophiacodontidae,Ophiacodon,1,specimens,-98.625275,33.595554,,"Onion Creek, 3 (Putnam Formation)",,"Locality 3 (Romer 1928), mouth of Onion Creek, faunal Zone 0, Cisco Group, Texas red-beds, redbeds",US,Texas,Archer,outcrop,-30.26,-1.62,101,Putnam,Cisco,,terrestrial indet.,body,terrestrial
295890,occ,28122,Cricotus,genus,37197,Sakmarian,,295.5,290.1,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Archeriidae,Cricotus,1,specimens,-98.625275,33.595554,,"Fireplace, 4 (Putnam Formation)",,"Locality 4 (Romer 1928), faunal Zone 0, Cisco Group, Texas red-beds, redbeds",US,Texas,Archer,outcrop,-30.26,-1.62,101,Putnam,Cisco,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
295891,occ,28122,Eryops,genus,37011,Sakmarian,,295.5,290.1,Chordata,Osteichthyes,Temnospondyli,Eryopidae,Eryops,1,specimens,-98.625275,33.595554,,"Fireplace, 4 (Putnam Formation)",,"Locality 4 (Romer 1928), faunal Zone 0, Cisco Group, Texas red-beds, redbeds",US,Texas,Archer,outcrop,-30.26,-1.62,101,Putnam,Cisco,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
295892,occ,28123,Cricotus,genus,37197,Sakmarian,,295.5,290.1,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Archeriidae,Cricotus,1,specimens,-98.625275,33.595554,,"Three Forks of the Little Wichita, 5 (Putnam Formation)",,"Locality 5 (Romer 1928), Locality IVb (Romer & Price, 1940) faunal Zone 0, Cisco Group, Texas red-beds, redbeds",US,Texas,Archer,outcrop,-30.26,-1.62,101,Putnam,Cisco,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
295893,occ,28123,Eryops,genus,37011,Sakmarian,,295.5,290.1,Chordata,Osteichthyes,Temnospondyli,Eryopidae,Eryops,2,specimens,-98.625275,33.595554,,"Three Forks of the Little Wichita, 5 (Putnam Formation)",,"Locality 5 (Romer 1928), Locality IVb (Romer & Price, 1940) faunal Zone 0, Cisco Group, Texas red-beds, redbeds",US,Texas,Archer,outcrop,-30.26,-1.62,101,Putnam,Cisco,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
